ARCHETYPE_AERIE_DEFENDER	Difensore del Nido
ITEM_PINEWOODPLANKS_DESC	Tavole ricavate dal Pino di Wildwood, apprezzate per la robustezza e usate in costruzioni resistenti.
ITEM_POETSBREW_DESC	Una bevanda ispiratrice e melodiosa con infuso di Campanula Canterina. Schiarisce la gola e accelera il battito, donando ai viandanti la resistenza di un bardo rinomato.
ITEM_POETSBREW_EFFECT	Ripristina il Nutrimento. Conferisce 10% Vigore massimo e Rigenerazione del vigore per 30 minuti.
ITEM_POISONCURE1_DESC	Un tonico alle erbe formulato per eliminare le tossine nocive dal corpo. Apprezzato dagli esploratori esperti.
ITEM_POISONCURE2_DESC	Un tonico alle erbe formulato per eliminare le tossine nocive dal corpo. Apprezzato dagli esploratori esperti.
ITEM_POISONCURE3_DESC	Un tonico alle erbe formulato per eliminare le tossine nocive dal corpo. Apprezzato dagli esploratori esperti.
ITEM_POISONCURE4_DESC	Un tonico alle erbe formulato per eliminare le tossine nocive dal corpo. Apprezzato dagli esploratori esperti.
ITEM_POISONCURE5_DESC	Un tonico alle erbe formulato per eliminare le tossine nocive dal corpo. Apprezzato dagli esploratori esperti.
ITEM_POISONCURE_DESC	Un tonico alle erbe formulato per eliminare le tossine nocive dal corpo. Apprezzato dagli esploratori esperti.
ITEM_POISONFLASK1_DESC	Un contenitore sigillato di potente tossina. Spesso usato per creare zone avvelenate o miscele letali.
ITEM_POISONFLASK1_EFFECT	Lancia per creare una Pozza di Veleno.<x1/> Le cariche si ricaricano riposando.
ITEM_POISONFLASK2_DESC	Un contenitore sigillato di potente tossina. Spesso usato per creare zone avvelenate o miscele letali.
ITEM_POISONFLASK2_EFFECT	Lancia per creare una Pozza di Veleno.<x1/> Le cariche si ricaricano riposando.
ITEM_POISONFLASK3_DESC	Un contenitore sigillato di potente tossina. Spesso usato per creare zone avvelenate o miscele letali.
ITEM_POISONFLASK3_EFFECT	Lancia per creare una Pozza di Veleno.<x1/> Le cariche si ricaricano riposando.
ITEM_POISONFLASK4_DESC	Un contenitore sigillato di potente tossina. Spesso usato per creare zone avvelenate o miscele letali.
ITEM_POISONFLASK4_EFFECT	Lancia per creare una Pozza di Veleno.<x1/> Le cariche si ricaricano riposando.
ITEM_POISONFLASK5_DESC	Un contenitore sigillato di potente tossina. Spesso usato per creare zone avvelenate o miscele letali.
ITEM_POISONFLASK5_EFFECT	Lancia per creare una Pozza di Veleno.<x1/> Le cariche si ricaricano riposando.
ITEM_POISONFLASK_DESC	Un contenitore sigillato di potente tossina. Spesso usato per creare zone avvelenate o miscele letali.
ITEM_POISONFLASK_EFFECT	Lancia per creare una Pozza di Veleno.<x1/> Le cariche si ricaricano riposando.
ITEM_POISON_DESC	Un liquido velenoso denso.
ITEM_RECIPEALCHEMYTABLE_DESC	Ricetta: Tavolo d'alchimia. Si può costruire solo nel Santuario. Usa per apprendere la ricetta.
ITEM_RECIPEALPHAFURRUG_DESC	Ricetta: Tappeto di Pelliccia Alfa. Si può costruire solo nel Santuario. Usa per apprendere la ricetta.
ITEM_RECIPEAPPLEJUICE_DESC	Ricetta: Succo di Mela. Usa per apprendere la ricetta.
ITEM_RECIPEAPPLETREEPLOT_DESC	Ricetta: Appezzamento di Meli. Si può costruire solo nel Santuario. Usa per apprendere la ricetta.
ITEM_RECIPEBASILTONGARDEN_DESC	Ricetta: Giardino di Basilton. Si può costruire solo nel Santuario. Usa per apprendere la ricetta.
ITEM_RECIPEBELLFLOWERSOUP_DESC	Ricetta: Zuppa di Campanula. Usa per apprendere la ricetta.
ITEM_RECIPEBLOODRAGEPOTION_DESC	Ricetta: Pozione della Furia Sanguinaria. Usa per apprendere la ricetta.
ITEM_RECIPEBURNSALVE_DESC	Ricetta: Unguento per ustioni. Usa per apprendere la ricetta.
ITEM_RECIPEBURROWBROTH_DESC	Ricetta: Brodo di Tana. Usa per apprendere la ricetta.
ITEM_RECIPECHICKENCOOP_DESC	Ricetta: Pollaio. Si può costruire solo nel Santuario. Usa per apprendere la ricetta.
ITEM_RECIPECOOKEDBEASTMEAT_DESC	Ricetta: Carne di bestia cotta. Usa per apprendere la ricetta.
ITEM_RECIPECOOKEDCRITTER_DESC	Ricetta: Bestiola Cotta. Usa per apprendere la ricetta.
ITEM_RECIPECOPPERPICKAXE_DESC	Ricetta: Piccone di Rame. Usa per apprendere la ricetta.
ITEM_RECIPECOPPERQUARRY_DESC	Ricetta: Cava di Rame. Si può costruire solo nel Santuario. Usa per apprendere la ricetta.
ITEM_RECIPECOPPERTHROWINGKNIFE_DESC	Ricetta: Coltello da Lancio di Rame. Usa per apprendere la ricetta.
ITEM_RECIPECOPPERWOODCUTTINGAXE_DESC	Ricetta: Ascia da Legna di Rame. Usa per apprendere la ricetta.
ITEM_RECIPECORRUPTEDTREANTTROPHY_DESC	Ricetta: Trofeo di Treant Corrotto. Si può costruire solo nel Santuario. Usa per apprendere la ricetta.
ITEM_RECIPEDAISYPATCH_DESC	Ricetta: Aiuola di Margherite. Si può costruire solo nel Santuario. Usa per apprendere la ricetta.
ITEM_RECIPEDROOPFARM_DESC	Ricetta: Allevamento di Droop. Si può costruire solo nel Santuario. Usa per apprendere la ricetta.
ITEM_RECIPEEARLWOODBANNER_DESC	Ricetta: Stendardo di Earlwood. Si può costruire solo nel Santuario. Usa per apprendere la ricetta.
ITEM_RECIPEEARLWOODBARRELCHAIR_DESC	Ricetta: Sedia a Botte di Earlwood. Si può costruire solo nel Santuario. Usa per apprendere la ricetta.
ITEM_RECIPEEARLWOODBRAZIER_DESC	Ricetta: Braciere di Earlwood. Si può costruire solo nel Santuario. Usa per apprendere la ricetta.
ITEM_RECIPEEARLWOODFEAST_DESC	Ricetta: Banchetto di Earlwood. Usa per apprendere la ricetta.
ITEM_RECIPEEARLWOODFENCE_DESC	Ricetta: Recinto di Earlwood. Si può costruire solo nel Santuario. Usa per apprendere la ricetta.
ITEM_RECIPEEARLWOODHEARTH_DESC	Ricetta: Focolare di Earlwood. Si può costruire solo nel Santuario. Usa per apprendere la ricetta.
ITEM_RECIPEEARLWOODPOTPLANT_DESC	Ricetta: Pianta in Vaso di Earlwood. Si può costruire solo nel Santuario. Usa per apprendere la ricetta.
ITEM_RECIPEEARLWOODTRAININGDUMMY_DESC	Ricetta: Manichino da Allenamento di Earlwood. Si può costruire solo nel Santuario. Usa per apprendere la ricetta.
ITEM_RECIPEEARLWOODWALLBANNER_DESC	Ricetta: Stendardo da Muro di Earlwood. Si può costruire solo nel Santuario. Usa per apprendere la ricetta.
ITEM_RECIPEELIXIROFREBIRTH_DESC	Ricetta: Elisir della Rinascita. Usa per apprendere la ricetta.
ITEM_RECIPEEMBERBLESSSOUP_DESC	Ricetta: Zuppa Benedetta dalla Brace. Usa per apprendere la ricetta.
ITEM_RECIPEEXPLOSIVEFLASK_DESC	Ricetta: Fiasca Esplosiva. Usa per apprendere la ricetta.
ITEM_RECIPEFACILITYCENTRE_DESC	Ricetta: Centro Servizi. Si può costruire solo nel Santuario. Usa per apprendere la ricetta.
ITEM_RECIPEFLAMINGOIL_DESC	Ricetta: Olio Fiammeggiante. Usa per apprendere la ricetta.
ITEM_RECIPEFLAXGLOVES_DESC	Ricetta: Guanti di Lino. Usa per apprendere la ricetta.
ITEM_RECIPEFLAXROPE_DESC	Ricetta: Corda di Lino. Usa per apprendere la ricetta.
ITEM_RECIPEFRAYEDRUG_DESC	Ricetta: Tappeto Logoro. Si può costruire solo nel Santuario. Usa per apprendere la ricetta.
ITEM_RECIPEFRIEDCHICKENEGG_DESC	Ricetta: Uovo Fritto. Usa per apprendere la ricetta.
ITEM_RECIPEFROSTBOUNDPOTION_DESC	Ricetta: Pozione del Vincolo Gelido. Usa per apprendere la ricetta.
ITEM_RECIPEFROSTEDOIL_DESC	Ricetta: Olio Gelido. Usa per apprendere la ricetta.
ITEM_RECIPEGOBLINKINGTROPHY_DESC	Ricetta: Trofeo del Re Goblin. Si può costruire solo nel Santuario. Usa per apprendere la ricetta.
ITEM_RECIPEGRASSPATCH_DESC	Ricetta: Zona d'Erba. Si può costruire solo nel Santuario. Usa per apprendere la ricetta.
ITEM_RECIPEHEARTOAKBED_DESC	Ricetta: Letto di Quercia del Cuore. Si può costruire solo nel Santuario. Usa per apprendere la ricetta.
ITEM_RECIPEHEARTOAKDOORWAY_DESC	Ricetta: Vano di Porta di Quercia del Cuore. Si può costruire solo nel Santuario. Usa per apprendere la ricetta.
ITEM_RECIPEHEARTOAKFENCE_DESC	Ricetta: Recinto di Quercia del Cuore. Si può costruire solo nel Santuario. Usa per apprendere la ricetta.
ITEM_RECIPEHEARTOAKPLANKS_DESC	Ricetta: Tavole di Quercia del Cuore. Usa per apprendere la ricetta.
ITEM_RECIPEHEARTWOODCHEST_DESC	Ricetta: Cassa in Durame. Si può costruire solo nel Santuario. Usa per apprendere la ricetta.
ITEM_RECIPEHEARTWOODFOUNDATION_DESC	Ricetta: Fondazione in Durame. Si può costruire solo nel Santuario. Usa per apprendere la ricetta.
ITEM_RECIPEHEARTWOODTABLE_DESC	Ricetta: Tavolo in Durame. Si può costruire solo nel Santuario. Usa per apprendere la ricetta.
ITEM_RECIPEHEARTWOODWALL_DESC	Ricetta: Muro in Durame. Si può costruire solo nel Santuario. Usa per apprendere la ricetta.
ITEM_RECIPEHEATOAKMILL_DESC	Ricetta: Mulino di Quercia del Cuore. Si può costruire solo nel Santuario. Usa per apprendere la ricetta.
ITEM_RECIPEHUNTERSSTEW_DESC	Ricetta: Stufato del Cacciatore. Usa per apprendere la ricetta.
ITEM_RECIPEINNOCULATIONPOTION_DESC	Ricetta: Pozione di Inoculazione. Usa per apprendere la ricetta.
ITEM_RECIPEKINDLINGPOTION_DESC	Ricetta: Pozione d'Innesco. Usa per apprendere la ricetta.
ITEM_RECIPELESSERCONCENTRATIONPOTION_DESC	Ricetta: Pozione Minore di Concentrazione. Usa per apprendere la ricetta.
ITEM_RECIPELESSERCONCENTRATIONTHROWFLASK_DESC	Ricetta: Fiasca da Lancio Minore di Concentrazione. Usa per apprendere la ricetta.
ITEM_RECIPELESSERHEALTHPOTION_DESC	Ricetta: Pozione Minore di Salute. Usa per apprendere la ricetta.
ITEM_RECIPELESSERHEALTHTHROWFLASK_DESC	Ricetta: Fiasca da Lancio Minore di Salute. Usa per apprendere la ricetta.
ITEM_RECIPELESSERSTAMINAPOTION_DESC	Ricetta: Pozione Minore di Vigore. Usa per apprendere la ricetta.
ITEM_RECIPELESSERSTAMINATHROWFLASK_DESC	Ricetta: Fiasca da Lancio Minore di Vigore. Usa per apprendere la ricetta.
ITEM_RECIPELIGHTBANDAGES_DESC	Ricetta: Bende Leggere. Usa per apprendere la ricetta.
ITEM_RECIPELINENGLOVES_DESC	Ricetta: Guanti di Tela. Usa per apprendere la ricetta.
ITEM_RECIPELINENRUG_DESC	Ricetta: Tappeto di Lino. Si può costruire solo nel Santuario. Usa per apprendere la ricetta.
ITEM_RECIPEMINORBLOODRAGEPOTION_DESC	Ricetta: Pozione Scarsa della Furia Sanguinaria. Usa per apprendere la ricetta.
ITEM_RECIPEMINORCONCENTRATIONTHROWFLASK_DESC	Ricetta: Fiasca da Lancio Scarsa di Concentrazione. Usa per apprendere la ricetta.
ITEM_RECIPEMINORHEALTHTHROWFLASK_DESC	Ricetta: Fiasca da Lancio Scarsa di Salute. Usa per apprendere la ricetta.
ITEM_RECIPEMUDFENCE_DESC	Ricetta: Recinto di Fango. Si può costruire solo nel Santuario. Usa per apprendere la ricetta.
ITEM_RECIPENATURESCALMTONIC_DESC	Ricetta: Tonico della Calma Naturale. Usa per apprendere la ricetta.
ITEM_RECIPENATURESWARDSTEAK_DESC	Ricetta: Bistecca della Protezione Naturale. Usa per apprendere la ricetta.
ITEM_RECIPEOAKCABINET_DESC	Ricetta: Credenza di Quercia. Si può costruire solo nel Santuario. Usa per apprendere la ricetta.
ITEM_RECIPEOILFLASK_DESC	Ricetta: Fiasca d'Olio. Usa per apprendere la ricetta.
ITEM_RECIPEPINEWOODCHAIR_DESC	Ricetta: Sedia di Pino. Si può costruire solo nel Santuario. Usa per apprendere la ricetta.
ITEM_RECIPEPINEWOODCHEST_DESC	Ricetta: Cassa di Pino. Si può costruire solo nel Santuario. Usa per apprendere la ricetta.
ITEM_RECIPEPINEWOODDOOR_DESC	Ricetta: Porta di Pino. Si può costruire solo nel Santuario. Usa per apprendere la ricetta.
ITEM_RECIPEPINEWOODFOUNDATION_DESC	Ricetta: Fondazione di Pino. Si può costruire solo nel Santuario. Usa per apprendere la ricetta.
ITEM_RECIPEPINEWOODMILL_DESC	Ricetta: Mulino di Pino. Si può costruire solo nel Santuario. Usa per apprendere la ricetta.
ITEM_RECIPEPINEWOODTABLE_DESC	Ricetta: Tavolo di Pino. Si può costruire solo nel Santuario. Usa per apprendere la ricetta.
ITEM_RECIPEPINEWOODTREEGARDEN_DESC	Ricetta: Giardino di Pini. Si può costruire solo nel Santuario. Usa per apprendere la ricetta.
ITEM_RECIPEPINEWOODWALL_DESC	Ricetta: Muro di Pino. Si può costruire solo nel Santuario. Usa per apprendere la ricetta.
ITEM_RECIPEPOETSBREW_DESC	Ricetta: Infuso del Poeta. Usa per apprendere la ricetta.
ITEM_RECIPEPOISONCURE_DESC	Ricetta: Antidoto. Usa per apprendere la ricetta.
ITEM_RECIPEPOISONFLASK_DESC	Ricetta: Fiasca di Veleno. Usa per apprendere la ricetta.
ITEM_RECIPERECIPEEARLWOODBED_DESC	Ricetta: Letto di Earlwood. Si può costruire solo nel Santuario. Usa per apprendere la ricetta.
ITEM_RECIPEROUGHPAPER_DESC	Ricetta: Carta Grezza. Usa per apprendere la ricetta.
ITEM_RECIPESTANDINGTORCH_DESC	Ricetta: Torcia a Stelo. Si può costruire solo nel Santuario. Usa per apprendere la ricetta.
ITEM_RECIPESTONEDOORWAY_DESC	Ricetta: Vano di Porta di Pietra. Si può costruire solo nel Santuario. Usa per apprendere la ricetta.
ITEM_RECIPESTONEFENCE_DESC	Ricetta: Recinto di Pietra. Si può costruire solo nel Santuario. Usa per apprendere la ricetta.
ITEM_RECIPESTONEFOUNDATION_DESC	Ricetta: Fondazione di Pietra. Si può costruire solo nel Santuario. Usa per apprendere la ricetta.
ITEM_RECIPESTONEPICKAXE_DESC	Ricetta: Piccone di Pietra. Usa per apprendere la ricetta.
ITEM_RECIPESTONEQUARRY_DESC	Ricetta: Cava di Pietra. Si può costruire solo nel Santuario. Usa per apprendere la ricetta.
ITEM_RECIPESTONETHROWINGKNIFE_DESC	Ricetta: Coltello da Lancio di Pietra. Usa per apprendere la ricetta.
ITEM_RECIPESTONEWALL_DESC	Ricetta: Muro di Pietra. Si può costruire solo nel Santuario. Usa per apprendere la ricetta.
ITEM_RECIPESTONEWOODCUTTINGAXE_DESC	Ricetta: Ascia da Legna di Pietra. Usa per apprendere la ricetta.
ITEM_RECIPESUNFLOWERPATCH_DESC	Ricetta: Aiuola di Girasoli. Si può costruire solo nel Santuario. Usa per apprendere la ricetta.
ITEM_RECIPETENDERBERRYPLOT_DESC	Ricetta: Appezzamento di Tenderberry. Si può costruire solo nel Santuario. Usa per apprendere la ricetta.
ITEM_RECIPETENDERBERRYTEA_DESC	Ricetta: Tè di Tenderberry. Usa per apprendere la ricetta.
ITEM_RECIPETHAUMABLOSSOMPLOT_DESC	Ricetta: Appezzamento di Thaumablossom. Si può costruire solo nel Santuario. Usa per apprendere la ricetta.
ITEM_RECIPETHAUMABLOSSOMTEA_DESC	Ricetta: Tè di Thaumablossom. Usa per apprendere la ricetta.
ITEM_RECIPETHICKBLOODBROTH_DESC	Ricetta: Brodo di Sangue Denso. Usa per apprendere la ricetta.
ITEM_RECIPETOXICOIL_DESC	Ricetta: Olio Tossico. Usa per apprendere la ricetta.
ITEM_RECIPETREANTTROPHY_DESC	Ricetta: Trofeo di Treant. Si può costruire solo nel Santuario. Usa per apprendere la ricetta.
ITEM_RECIPETREANTWOODSTOOL_DESC	Ricetta: Sgabello di Legno di Treant. Si può costruire solo nel Santuario. Usa per apprendere la ricetta.
ITEM_RECIPEWARMINGBROTH_DESC	Ricetta: Brodo Riscaldante. Usa per apprendere la ricetta.
ITEM_RECIPEWATERFLASK_DESC	Ricetta: Fiasca d'Acqua. Usa per apprendere la ricetta.
ITEM_RECIPEWATERWELL_DESC	Ricetta: Pozzo d'Acqua. Si può costruire solo nel Santuario. Usa per apprendere la ricetta.
ITEM_RECIPEWATER_DESC	Ricetta: Acqua. Usa per apprendere la ricetta.
ITEM_RECIPEWEAKHEALTHEXTRACT_DESC	Ricetta: Estratto Debole di Salute. Usa per apprendere la ricetta.
ITEM_RECIPEWEAKMAGICEXTRACT_DESC	Ricetta: Estratto Debole di Magia. Usa per apprendere la ricetta.
ITEM_RECIPEWOODFIRESTOVE_DESC	Ricetta: Stufa a legna. Si può costruire solo nel Santuario. Usa per apprendere la ricetta.
ITEM_RECIPEWORKBENCH_DESC	Ricetta: Banco da lavoro. Si può costruire solo nel Santuario. Usa per apprendere la ricetta.
ITEM_ROASTEDDROOPCORE_DESC	Un succulento Nucleo di Droop arrostito sul fuoco. Uno dei pasti più semplici e abbondanti di Mirkea.
ITEM_ROASTEDDROOPCORE_EFFECT	Ripristina il Nutrimento.
ITEM_ROUGHPAPER_DESC	Carta lacera infusa di magia, a malapena integra ma ancora utile.
ITEM_SILVERCAT_DESC	Addestrati nella magia della Barriera alla Grande Accademia di Aldoria, i Gatti Argentati sono preziosi compagni dei maghi inviati in battaglia.
ITEM_SILVERCAT_EFFECT	Quando il giocatore subisce danni, conferisce una Barriera magica che assorbe danni per 3 secondi.
ITEM_SINGINGBELLFLOWERSEED_DESC	Un seme di Campanula Canterina.
ITEM_SINGINGBELLFLOWER_DESC	Una pianta rara che cresce nel cuore della foresta, nota per le sue proprietà rigeneranti.
ITEM_SPELLBOOKADRENALINE_DESC	Un libro degli incantesimi che insegna Adrenalina a chi lo legge. Usa per apprendere l'incantesimo se hai gli attributi richiesti.
ITEM_SPELLBOOKAETHERFANGPHALANX_DESC	Un libro degli incantesimi che insegna Falange Zanna d'Etere a chi lo legge. Usa per apprendere l'incantesimo se hai gli attributi richiesti.
ITEM_SPELLBOOKALPHAHOWL_DESC	Un libro degli incantesimi che insegna Ululato Alfa a chi lo legge. Usa per apprendere l'incantesimo se hai gli attributi richiesti.
ITEM_SPELLBOOKBARRIER_DESC	Un libro degli incantesimi che insegna Barriera a chi lo legge. Usa per apprendere l'incantesimo se hai gli attributi richiesti.
ITEM_SPELLBOOKBASH_DESC	Un libro degli incantesimi che insegna Percossa a chi lo legge. Usa per apprendere l'incantesimo se hai gli attributi richiesti.
ITEM_SPELLBOOKBLACKHOLE_DESC	Un libro degli incantesimi che insegna Buco Nero a chi lo legge. Usa per apprendere l'incantesimo se hai gli attributi richiesti.
ITEM_SPELLBOOKBRAMBLEFAN_DESC	Un libro degli incantesimi che insegna Ventaglio di Spine a chi lo legge. Usa per apprendere l'incantesimo se hai gli attributi richiesti.
ITEM_SPELLBOOKCIRCLEOFMAGIC_DESC	Un libro degli incantesimi che insegna Cerchio di Magia a chi lo legge. Usa per apprendere l'incantesimo se hai gli attributi richiesti.
ITEM_SPELLBOOKCLEARWATER_DESC	Un libro degli incantesimi che insegna Acqua Limpida a chi lo legge. Usa per apprendere l'incantesimo se hai gli attributi richiesti.
ITEM_SPELLBOOKCOMBATMEDIC_DESC	Un libro degli incantesimi che insegna Medico da Campo a chi lo legge. Usa per apprendere l'incantesimo se hai gli attributi richiesti.
ITEM_SPELLBOOKCONFLAGURATION_DESC	Un libro degli incantesimi che insegna Conflagrazione a chi lo legge. Usa per apprendere l'incantesimo se hai gli attributi richiesti.
ITEM_SPELLBOOKCRIPPLINGSTRIKE_DESC	Un libro degli incantesimi che insegna Colpo Storpiante a chi lo legge. Usa per apprendere l'incantesimo se hai gli attributi richiesti.
ITEM_SPELLBOOKDEVOUR_DESC	Un libro degli incantesimi che insegna Divorare a chi lo legge. Usa per apprendere l'incantesimo se hai gli attributi richiesti.
ITEM_SPELLBOOKEMPOWERALLY_DESC	Un libro degli incantesimi che insegna Potenzia Alleato a chi lo legge.
ITEM_SPELLBOOKENTANGLINGROOTS_DESC	Un libro degli incantesimi che insegna Radici Avviluppanti a chi lo legge.
ITEM_SPELLBOOKERUPT_DESC	Un libro degli incantesimi che insegna Eruzione a chi lo legge. Usa per apprendere l'incantesimo se hai gli attributi richiesti.
ITEM_SPELLBOOKFIREBURST_DESC	Un libro degli incantesimi che insegna Scoppio di Fuoco a chi lo legge. Usa per apprendere l'incantesimo se hai gli attributi richiesti.
ITEM_SPELLBOOKFLAMINGSTRIKE_DESC	Un libro degli incantesimi che insegna Colpo Fiammeggiante a chi lo legge. Usa per apprendere l'incantesimo se hai gli attributi richiesti.
ITEM_SPELLBOOKFRENZIEDSLASHES_DESC	Un libro degli incantesimi che insegna Tagli Frenetici a chi lo legge. Usa per apprendere l'incantesimo se hai gli attributi richiesti.
ITEM_SPELLBOOKFROZENSTRIKE_DESC	Un libro degli incantesimi che insegna Colpo Congelato a chi lo legge. Usa per apprendere l'incantesimo se hai gli attributi richiesti.
ITEM_SPELLBOOKGOBLINTOSS_DESC	Un libro degli incantesimi che insegna Lancio di Goblin a chi lo legge. Usa per apprendere l'incantesimo se hai gli attributi richiesti.
ITEM_SPELLBOOKGUST_DESC	Un libro degli incantesimi che insegna Raffica a chi lo legge. Usa per apprendere l'incantesimo se hai gli attributi richiesti.
ITEM_SPELLBOOKHEAVYSTRIKE_DESC	Un libro degli incantesimi che insegna Colpo Pesante a chi lo legge. Usa per apprendere l'incantesimo se hai gli attributi richiesti.
ITEM_SPELLBOOKINFECTIOUSSWARM_DESC	Un libro degli incantesimi che insegna Sciame Infettivo a chi lo legge. Usa per apprendere l'incantesimo se hai gli attributi richiesti.
ITEM_SPELLBOOKJUNKHAIL_DESC	Un libro degli incantesimi che insegna Grandine di Rottami a chi lo legge. Usa per apprendere l'incantesimo se hai gli attributi richiesti.
ITEM_SPELLBOOKMETEOR_DESC	Un libro degli incantesimi che insegna Meteorite a chi lo legge. Usa per apprendere l'incantesimo se hai gli attributi richiesti.
ITEM_SPELLBOOKPOISONSPORES_DESC	Un libro degli incantesimi che insegna Nebbia velenosa a chi lo legge.
ITEM_SPELLBOOKPOISONSPORES_NAME	Libro degli incantesimi: Nebbia velenosa
ITEM_SPELLBOOKREJECTION_DESC	Un libro degli incantesimi che insegna Repulsione a chi lo legge. Usa per apprendere l'incantesimo se hai gli attributi richiesti.
ITEM_SPELLBOOKRIPPLE_DESC	Un libro degli incantesimi che insegna Ondulazione a chi lo legge. Usa per apprendere l'incantesimo se hai gli attributi richiesti.
ITEM_SPELLBOOKSAPARTILLERY_DESC	Un libro degli incantesimi che insegna Artiglieria di Linfa a chi lo legge. Usa per apprendere l'incantesimo se hai gli attributi richiesti.
ITEM_SPELLBOOKSAVAGECLAW_DESC	Un libro degli incantesimi che insegna Artiglio Selvaggio a chi lo legge.
ITEM_SPELLBOOKSEEDBOMB_DESC	Un libro degli incantesimi che insegna Bomba di Semi a chi lo legge. Usa per apprendere l'incantesimo se hai gli attributi richiesti.
ITEM_SPELLBOOKSHOCKWAVE_DESC	Un libro degli incantesimi che insegna Onda di Shock a chi lo legge. Usa per apprendere l'incantesimo se hai gli attributi richiesti.
ITEM_SPELLBOOKSPAWNFORESTHEART_DESC	Un libro degli incantesimi che insegna Evoca Cuore della Foresta a chi lo legge. Usa per apprendere l'incantesimo se hai gli attributi richiesti.
ITEM_SPELLBOOKSPIRITSWAP_DESC	Un libro degli incantesimi che insegna Scambio Spirituale a chi lo legge.
ITEM_SPELLBOOKTENDONSLICE_DESC	Un libro degli incantesimi che insegna Taglio dei Tendini a chi lo legge. Usa per apprendere l'incantesimo se hai gli attributi richiesti.
ITEM_SPELLBOOKTOXICSLICE_DESC	Un libro degli incantesimi che insegna Taglio Tossico a chi lo legge. Usa per apprendere l'incantesimo se hai gli attributi richiesti.
ITEM_SPELLBOOKWARBANNER_DESC	Un libro degli incantesimi che insegna Stendardo di Guerra a chi lo legge. Usa per apprendere l'incantesimo se hai gli attributi richiesti.
ITEM_SPELLBOOKWATERSURGE_DESC	Un libro degli incantesimi che insegna Ondata d'Acqua a chi lo legge.
ITEM_STONENAILS_DESC	Chiodi di Pietra intagliati a mano, usati per costruire mobili rustici e telai di sostegno.
ITEM_STONEPICKAXE_DESC	Un piccone pesante rinforzato per spaccare la pietra ed estrarre minerali da terreni rocciosi.
ITEM_STONETHROWINGKNIFE1_DESC	Un coltello da lancio ricavato da una pietra affilata e avvolto in corda leggera. Lancialo ai nemici per ferirli in profondità e farli sanguinare.
ITEM_STONETHROWINGKNIFE1_EFFECT	Lancia per danneggiare i nemici e applicare Sanguinamento.<x1/> Le cariche si ricaricano riposando.
ITEM_STONETHROWINGKNIFE2_DESC	Un coltello da lancio ricavato da una pietra affilata e avvolto in corda leggera. Lancialo ai nemici per ferirli in profondità e farli sanguinare.
ITEM_STONETHROWINGKNIFE2_EFFECT	Lancia per danneggiare i nemici e applicare Sanguinamento.<x1/> Le cariche si ricaricano riposando.
ITEM_STONETHROWINGKNIFE3_DESC	Un coltello da lancio ricavato da una pietra affilata e avvolto in corda leggera. Lancialo ai nemici per ferirli in profondità e farli sanguinare.
ITEM_STONETHROWINGKNIFE3_EFFECT	Lancia per danneggiare i nemici e applicare Sanguinamento.<x1/> Le cariche si ricaricano riposando.
ITEM_STONETHROWINGKNIFE4_DESC	Un coltello da lancio ricavato da una pietra affilata e avvolto in corda leggera. Lancialo ai nemici per ferirli in profondità e farli sanguinare.
ITEM_STONETHROWINGKNIFE4_EFFECT	Lancia per danneggiare i nemici e applicare Sanguinamento.<x1/> Le cariche si ricaricano riposando.
ITEM_STONETHROWINGKNIFE5_DESC	Un coltello da lancio ricavato da una pietra affilata e avvolto in corda leggera. Lancialo ai nemici per ferirli in profondità e farli sanguinare.
ITEM_STONETHROWINGKNIFE5_EFFECT	Lancia per danneggiare i nemici e applicare Sanguinamento.<x1/> Le cariche si ricaricano riposando.
ITEM_STONETHROWINGKNIFE_DESC	Un coltello da lancio ricavato da una pietra affilata e avvolto in corda leggera. Lancialo ai nemici per ferirli in profondità e farli sanguinare.
ITEM_STONETHROWINGKNIFE_EFFECT	Lancia per danneggiare i nemici e applicare Sanguinamento.<x1/> Le cariche si ricaricano riposando.
ITEM_STONEWOODCUTTINGAXE_DESC	Un'affidabile ascia da boscaiolo, bilanciata per colpi regolari durante la raccolta di legname nelle terre selvagge.
ITEM_STONE_DESC	Pietra finemente frantumata, raccolta nei siti di scavo di Mirkea.
ITEM_TENDERBERRYSEED_DESC	Semi per coltivare cespugli di Tenderberry.
ITEM_TENDERBERRYTEA_DESC	Un tè lenitivo preparato con bacche della foresta. Noto per la delicata azione ristoratrice sullo spirito e per l'idratazione.
ITEM_TENDERBERRYTEA_EFFECT	Ripristina il Nutrimento e aumenta la Salute massima del 10% per 30 minuti. Può essere attivo un solo bonus da bevanda alla volta.
ITEM_TENDERBERRY_DESC	Una morbida bacca cremisi, nota per la dolcezza delicata e il calore curativo.
ITEM_TENDERBERRY_EFFECT	Ripristina il Nutrimento.
ITEM_THAUMABLOSSOMSEED_DESC	Semi per coltivare Thaumablossom.
ITEM_THAUMABLOSSOMTEA_DESC	Un raro infuso d'erbe preparato al chiaro di luna.
ITEM_THAUMABLOSSOMTEA_EFFECT	Ripristina il Nutrimento, aumenta la Concentrazione massima del 10% e ripristina 1 Concentrazione al colpo per 30 minuti. Può essere attivo un solo bonus da bevanda alla volta.
ITEM_THAUMABLOSSOM_DESC	Un fiore viola luminoso che si ritiene cresca vicino alle fratture delle linee di forza.
